#TYPE Selected.Microsoft.DnsClient.Commands.DnsRecord_A
"Name","IP_1","IP_2","IP_3","IP_4","IP_5","IP_6","IP_7","IP_8","IP_9","IP_10"
"customers.tbhost.co","104.16.218.187","104.16.219.187","104.16.220.187","104.16.221.187","104.16.222.187","2606:4700::6810:dabb","2606:4700::6810:dbbb","2606:4700::6810:dcbb","2606:4700::6810:ddbb","2606:4700::6810:debb"
"unitedfurnitureappliance.com","104.21.29.111","172.67.171.120","2606:4700:3035::6815:1d6f","2606:4700:3037::ac43:ab78","","","","","",""
"crumptontv.com","104.21.49.248","172.67.154.124","2606:4700:3033::6815:31f8","2606:4700:3036::ac43:9a7c","","","","","",""
"blvdhome.com","104.21.3.70","172.67.153.123","2606:4700:3034::ac43:997b","2606:4700:3035::6815:346","","","","","",""
"appliancedepotlv.com","104.21.48.12","172.67.175.181","2606:4700:3030::ac43:afb5","2606:4700:3036::6815:300c","","","","","",""
"dansappliances.com","104.21.51.21","172.67.218.122","2606:4700:3032::6815:3315","2606:4700:3034::ac43:da7a","","","","","",""
"billandrodsappliance.com","104.21.23.82","172.67.209.215","2606:4700:3031::6815:1752","2606:4700:3035::ac43:d1d7","","","","","",""
"ext-cust.squarespace.com","198.185.159.144","198.185.159.145","198.49.23.144","198.49.23.145","","","","","",""
"ext-sq.squarespace.com","198.185.159.144","198.185.159.145","198.49.23.144","198.49.23.145","","","","","",""
"comfortfurnitureandmattress.com","104.21.92.7","172.67.183.254","2606:4700:3030::ac43:b7fe","2606:4700:3031::6815:5c07","","","","","",""
"360furniturellc.com","104.21.64.121","172.67.185.19","2606:4700:3032::6815:4079","2606:4700:3033::ac43:b913","","","","","",""
"webfarm2.furnituredealer.net","35.83.167.218","52.25.84.149","54.187.91.107","","","","","","",""
"meublesetnous.com","52.2.161.18","54.175.34.93","","","","","","","",""
"merithomefurniture.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"meublesetmoi.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"maustonfurnitureappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mccubbinsfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mcmhg.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mcmillanappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"melhanks.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mcentiresappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mclellansfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"millermaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"millarsappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mikes-appliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"millersfurnituremillhall.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mireaultshomefurnishings.com","52.2.161.18","54.175.34.93","","","","","","","",""
"minervashome.com","52.2.161.18","54.175.34.93","","","","","","","",""
"milwaukeeappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"midwesttvandappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"miskellys.com","52.2.161.18","54.175.34.93","","","","","","","",""
"meublespoisson.com","52.2.161.18","54.175.34.93","","","","","","","",""
"meubleslalonde.com","52.2.161.18","54.175.34.93","","","","","","","",""
"middletonsfurnituresandappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"midtennfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"midlandappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"midlandappliance.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"manhattanapplianceandsleepsource.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mandmappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mandkmaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"martin-harris.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mardick.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mapleappliancedirect.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"mandhappliance.com","15.197.142.173","3.33.152.147","","","","","","","",""
"macdonaldsfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"macarthurappliances.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"lyttonsappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"malkinappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"malaket.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mainlinesv.com","52.2.161.18","54.175.34.93","","","","","","","",""
"martinshomecenter.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mattressland.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mattressdirectsc.com","52.2.161.18","54.175.34.93","","","","","","","",""
"matthewsmattress.com","52.2.161.18","54.175.34.93","","","","","","","",""
"matusonline.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mattressstorewa.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mattressmary.com","52.2.161.18","54.175.34.93","","","","","","","",""
"masterswholesale.com","52.2.161.18","54.175.34.93","","","","","","","",""
"massillonappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"maruszczak.com","52.2.161.18","54.175.34.93","","","","","","","",""
"martysappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"mastersonsappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"masterinstallsappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"masterapplianceoregon.com","52.2.161.18","54.175.34.93","","","","","","","",""
"northappliances.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"nolenshomemarket.com","52.2.161.18","54.175.34.93","","","","","","","",""
"nobleappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"northcoastappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"northernlakesappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"northernhomeessentials.com","52.2.161.18","54.175.34.93","","","","","","","",""
"northeastiowaappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"nelthorpeandson.com","52.2.161.18","54.175.34.93","","","","","","","",""
"nealsfurniture.com","15.197.142.173","3.33.152.147","","","","","","","",""
"nctva.com","52.2.161.18","54.175.34.93","","","","","","","",""
"nevesfloorstogo.com","52.2.161.18","54.175.34.93","","","","","","","",""
"noav.com","52.2.161.18","54.175.34.93","","","","","","","",""
"nnao.net","52.2.161.18","54.175.34.93","","","","","","","",""
"nielsenelectric.com","52.2.161.18","54.175.34.93","","","","","","","",""
"originalhomefurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"onlinediscountfurniture.com","15.197.142.173","3.33.152.147","","","","","","","",""
"onecall.com","52.2.161.18","54.175.34.93","","","","","","","",""
