avbid,store_code,name,locale,url
bs0022,bs0022,Liddiard's Home Furnishings Store View - bs0022,en_US,https://www.liddiardhf.com/
protest1,protest1,Pro Test Site Store View - protest1,en_US,https://pro.brandsource.com/
nhom4,nhom4,BrandSource Home Gallery Cayman Store View - nhom4,en_KY,https://www.brandsourcecayman.com/
durn1,durn1_fr,Urners Store View French - durn1_fr,fr_CA,https://fr.urners.avbmarketing.com/
cn099,cn099_fr_ca,Ameublement BrandSource Rice Store View - French - cn099_fr_ca,fr_CA,https://www.brandsourcerice.ca/
cn0025,cn0025_fr_ca,Bonanza Furniture Store View - French - cn0025_fr_ca,fr_CA,https://www.bonanzafurniture.ca/
cn0145,cn0145_fr_ca,Red Barn Store View - French - cn0145_fr_ca,fr_CA,https://www.redbarngrandfalls.ca/
cn0150,cn0150_fr_ca,Universal Appliances - French - cn0150_fr_ca,fr_CA,https://www.universalappliances.com/
cn0016,cn0016_en_ca,Ameublement BrandSource Desrochers Store View - English - cn0016_en_ca,en_CA,https://www.brandsourcedesrochers.ca/
cn0091,cn0091_en_ca,Ameublement BrandSource Du Havre Store View - English - cn0091_en_ca,en_CA,https://www.brandsourceduhavre.ca/
cn0013,cn0013_en_ca,Ameublement BrandSource Gilles Boisvert Store View - English - cn0013_en_ca,en_CA,https://www.brandsourcegillesboisvert.ca/
cn0102,cn0102_en_ca,Ameublement BrandSource Sévigny Store View - English - cn0102_en_ca,en_CA,https://www.brandsourcesevigny.ca/
cn101,cn101_en_ca,Ameublement BrandSource Serge Prévost Store View - English - cn101_en_ca,en_CA,https://www.brandsourceprevost.ca/
cn0019,cn0019_en_ca,Appareils Ménagers Robert Leduc Store View - English - cn0019_en_ca,en_CA,https://www.robertleduc.com/
cn0146,cn0146_en_ca,Ameublement Machabée - English - cn0146_en_ca,en_CA,https://www.ameublementmachabee.com/
cn0147,cn0147_en_ca,Ameublement Normand Lalonde - English - cn0147_en_ca,en_CA,https://www.meubleslalonde.com/
cn0149,cn0149_en_ca,Meubles Poisson Store View - English - cn0149_en_ca,en_CA,https://www.meublespoisson.com/
cn0055,cn0055_en_ca,Germain Larivière - English - cn0055_en_ca,en_CA,https://cn0055-staging.avbmarketing.com/
cat_canada,cat_canada_en_ca,AVB Canada Test Store View - English - cat_canada_en_ca,en_CA,https://cat-ca.avbportal.com/
cn0008,cn0008_fr_ca,Renaud's BrandSource Home Furnishings Store View - French - cn0008_fr_ca,fr_CA,https://www.renaudsfurniture.com/
canada_franchise,canada_franchise_fr_ca,BrandSource Canada Store View - French - canada_franchise_fr_ca,fr_CA,https://canada-franchise.avbmarketing.com/
protest1,protest1_fr_ca,Pro Test Site Store View - French - protest1_fr_ca,fr_CA,https://pro.brandsource.com/
cn0154,cn0154_fr_ca,Maple Appliance Direct Store View - French - cn0154_fr_ca,fr_CA,https://www.mapleappliancedirect.ca/
megatheme,megatheme_fr_ca,Demo Site - Canada Mega Theme Store View - French - megatheme_fr_ca,fr_CA,https://megatheme-canada.avbmarketing.com/
cn0164,cn0164_en_ca,Ameublement Brandsource Parenteau - English - Store View - cn0164_en_ca,en_CA,https://www.brandsourceparenteau.ca/
cn0163,cn0163_en_ca,Ameublement Lucien Malaket Store View - cn0163_en_ca,en_US,https://www.malaket.com/
cn0162,cn0162_en_ca,Meubles & Moi Store View - English - cn0162_en_ca,en_CA,https://www.meublesetmoi.ca/
canada_franchise2,canada_franchise2_en_ca,BrandSource Canada Store View 2 - English - canada_franchise2_en_ca,en_CA,https://canada-fr-franchise.avbmarketing.com/
cn0159,cn0159_fr_ca,KAP FURNITURE Store View - French - cn0159_fr_ca,fr_CA,https://www.kapfurniture.ca/
cn0117,cn0117,Original Home Furniture Store View - cn0117,en_CA,https://www.originalhomefurniture.com/
cn0002,cn0002,Gabriele Home Furnishings & Flooring Store View - cn0002,en_CA,https://www.gabrielesbrandsource.ca/
cn0011,cn0011,Baker's Appliance Canada Store View - cn0011,en_CA,https://www.bakersappliances.ca/
cn0017,cn0017,Anderson's Appliances Store View - cn0017,en_CA,https://www.andersonappliances.ca/
cn0020,cn0020,Arva Appliances Store View - cn0020,en_CA,https://www.arvaappliances.com/
cn0016,cn0016,Ameublement BrandSource Desrochers Store View - French - cn0016,fr_CA,https://www.brandsourcedesrochers.ca/
cn0091,cn0091,Ameublement BrandSource Du Havre Store View - French - cn0091,fr_CA,https://www.brandsourceduhavre.ca/
cn0013,cn0013,Ameublement BrandSource Gilles Boisvert Store View - French - cn0013,fr_CA,https://www.brandsourcegillesboisvert.ca/
cn100,cn100,Ameublement BrandSource S.J. Dion Store View - French - cn100,fr_CA,https://www.brandsourcedion.ca/
cn0102,cn0102,Ameublement BrandSource Sévigny Store View - French - cn0102,fr_CA,https://www.brandsourcesevigny.ca/
cn101,cn101,Ameublement BrandSource Serge Prévost Store View - French - cn101,fr_CA,https://www.brandsourceprevost.ca/
cn0019,cn0019,Appareils Ménagers Robert Leduc Store View - French - cn0019,fr_CA,https://www.robertleduc.com/
cn0146,cn0146,Ameublement Machabée Store View - French - cn0146,fr_CA,https://www.ameublementmachabee.com/
cn0147,cn0147,Ameublement Normand Lalonde Store View - French - cn0147,fr_CA,https://www.meubleslalonde.com/
cn0149,cn0149,Meubles Poisson Store View - French - cn0149,fr_CA,https://www.meublespoisson.com/
cn0055,cn0055,Germain Larivière Store View - French - cn0055,fr_CA,https://cn0055-staging.avbmarketing.com/
cn0096,cn0096,Ameublement BrandSource Ouellet Store View - French - cn0096,fr_CA,https://www.brandsourceouellet.ca/
cn0097,cn0097,Ameublement BrandSource Paquin Store View - French - cn0097,fr_CA,https://www.brandsourcepaquin.ca/
cn098,cn098,Ameublement BrandSource Poulin Store View - French - cn098,fr_CA,https://www.brandsourcepoulin.ca/
